ALIMENTO;MEDIDA CASEIRA;PESO (g/ml);Kcal;CHO (g)
3 Corações®;;;;
Abacate;^{1} /_{4} unidade pequena;92;161;7
Abacate (picado);1 colher de sopa cheia;45;79;3
Abacaxi;1 fatia média;75;44;10
Abacaxi (polpa) congelada;1 saquinho;100;31;8
"Abacaxi com coco diet
Flormel®";1 tablete;25;113;19
Abacaxi em calda;1 fatia média;64;78;19
Abacaxi em caldas;1 fatia média;64;78;19
Abóbora cabotiá cozida;1 colher de sopa cheia;36;14;3
"Abóbora com coco diet
Flormel® cremoso";1 colher de sopa;20;36;7
"Abóbora com coco diet
Flormel® tablete";1 tablete;25;102;16
Abóbora-d’água cozida (picada);1 colher de sopa cheia;36;10;0
"Abóbora-moranga cozida
(picada)";1 colher de sopa cheia;36;7;1
"Abobrinha italiana cozida
(picada)";1 colher de sopa;20;3;0
Abobrinha italiana crua (picada);1 colher de sopa;20;4;1
"Abobrinha paulista crua
(picada)";1 colher de sopa;20;6;2
"Açaí (polpa) com xarope de
guaraná e glicose";1 pote médio;200;220;43
Açaí (polpa) congelada;1 pote pequeno;100;58;6
Açaí com xarope (suco);1 copo duplo;240;438;72
Açaí natural Frooty®;"6 colheres de sopa
rasas";60;62;13
Acelga (picada);1 colher de sopa cheia;6;2;0
Acerola;1 unidade pequena;12;4;1
Acerola (polpa) congelada;1 saquinho;100;22;6
Achocolatado (média);1 colher de sopa;16;113;14
Achocolatado (média);1 colher de sopa;16;113;14
Achocolatado Chocoki®;1 colher de sopa;8;13;5
Achocolatado diet Gold®;1 colher de sopa;5;16;3
Achocolatado diet Gold®;1 colher de sopa;5;16;3
Achocolatado diet Linea®;1 colher de sopa;12;30;5
Achocolatado diet Tal & Qual®;1 colher de sopa;5;15;3
Achocolatado diet Tal & Qual®;1 colher de sopa;5;15;3
Achocolatado light Nescau®;1 colher de sopa;9;32;7
Achocolatado light Nescau®;1 colher de sopa;9;32;7
Achocolatado light Taeq®;1 colher de sopa;10;34;7
Achocolatado light Taeq®;1 colher de sopa;10;34;7
Achocolatado light Toddy®;1 colher de sopa;10;37;8
Achocolatado light Toddy®;1 colher de sopa;10;37;8
Achocolatado Nescau®;1 colher de sopa;10;37;9
Achocolatado Nescau®;1 colher de sopa;10;37;9
Achocolatado Toddy®;1 colher de sopa;10;40;9
Achocolatado Toddy®;1 colher de sopa;10;40;9
Açúcar branco refinado;1 colher de sopa cheia;30;116;30
Açúcar cristal;1 colher de sopa;24;93;24
Açúcar light;1 colher de chá;4;16;4
Açúcar mascavo;1 colher de sopa rasa;11;41;11
Adoçante Tal e Qual® (em pó);1 colher de sopa;2;8;2
Agrião (picado);1 colher de sopa cheia;7;2;0
Agrião refogado;1 colher de sopa cheia;25;19;1
Água de coco Do Bem®;1 copo;200;43;11
Água de coco Kero coco®;1 copo;200;40;10
Água de coco Sococo®;1 copo;200;44;11
Água de coco verde;1 copo;200;36;8
Água tônica Antarctica®;1 copo;200;64;16
Água tônica zero Antarctica®;1 copo;200;0;0
Aguardente;1 dose;50;35;5
Aipim cozido (picado);1 colher de sopa cheia;37;44;22
Aipim frito;1 pedaço médio;70;211;35
Aipo cru (picado);1 colher de sopa rasa;10;2;0
Alcachofra cozida;1 pedaço médio;20;6;1
Alcaparra;1 colher de sopa cheia;27;10;1
Alface americana crua;1 folha média;10;1;0
Alface crua (média);1 prato de sobremesa;100;3;1
Alface lisa/crespa crua;1 folha média;10;1;0
Alface roxa crua;1 folha média;10;1;0
Alfajor Cacau Show®;1 unidade;40;120;23
Alfajor Havana Chocolate®;1 unidade;55;208;32
"Alfajor recheado com doce
de leite";1 unidade;25;98;15
Alfavaca crua;1 folha média;10;3;0
Algodão-doce;1 unidade;30;116;30
Algodão-doce Mavalério®;1 unidade;35;140;35
Alho;2 dentes pequenos;10;11;3
Alho-poró;1 colher de sopa cheia;20;11;3
All Bran Original Kellogg’s®;½ copo;40;104;18
Almeirão cru (picado);1 colher de sopa cheia;6;1;0
Almeirão refogado;1 colher de sopa cheia;30;20;2
Almôndega de peru;"1 unidade
pequena";25;45;6
"Almôndega de
carne frita";"1 unidade
pequena";30;82;5
"Almôndega de
frango crua";"1 unidade
pequena";45;90;6
Amaranto cru;1 colher de sopa cheia;25;91;16
Amaranto cru;"1 colher
de sopa
cheia";25;91;4
Ambrosia;1 colher de sopa;40;58;10
Ameixa com coco diet Flormel®;1 tablete;25;86;17
Ameixa em calda;1 unidade média;7;20;5
Ameixa preta;1 unidade média;42;18;4
Ameixa preta seca;1 unidade média;5;12;3
Ameixa vermelha;1 unidade média;42;23;5
Amêndoa;10 unidades;30;130;10
Amendocrem®;1 colher de sopa;20;122;6
Amendoim;1 colher de sopa cheia;19;111;4
Amendoim caramelizado;1 pacote pequeno;20;95;14
Amendoim japonês Yoki®;1 colher de sopa;15;75;5
Amendoim torrado;1 colher de sopa cheia;19;118;3
Amido de arroz;1 colher de sopa cheia;20;69;17
Amido de milho;1 colher de sopa cheia;20;72;18
Amora (diversas);1 unidade média;8;5;1
Angu;1 colher de sopa;35;44;9
Arroz à grega;1 colher de servir;60;75;18
Arroz basmatti cozido;1 colher de sopa cheia;25;27;6
Arroz branco cozido;1 colher de sopa cheia;25;26;5
Arroz branco cozido;1 colher de servir;45;58;13
"Arroz branco cozido
(instantâneo)";1 colher de sopa cheia;25;28;6
Arroz carreteiro;1 colher de servir;45;70;5
Arroz com amêndoas;1 colher de servir;60;75;18
Arroz com lentilha;1 colher de servir;45;71;12
Arroz com linguiça;1 colher de sopa cheia;60;116;12
Arroz com passas;1 colher de sopa cheia;25;37;8
Arroz com pequi;1 colher de sopa cheia;60;97;17
Arroz doce;1 colher de sopa;30;51;10
Arroz doce diet;1 colher de sopa;30;41;6
Arroz frito;1 colher de sopa cheia;25;48;6
Arroz integral com brócolis;1 colher de sopa cheia;25;26;5
Arroz integral cozido;1 colher de sopa cheia;20;25;5
Arroz integral cozido;1 colher de servir;50;54;12
Arroz parboilizado;1 colher de sopa cheia;28;35;7
Arroz piamontese;1 colher de servir rasa;40;72;8
Arroz preto cozido;1 colher de sopa cheia;25;88;18
Arroz Ráris Fit® (média);^{1} /_{4} xícara de chá;45;158;32
Arroz selvagem cozido;1 colher de sopa cheia;25;28;5
Arroz sírio;1 colher de servir;45;69;13
Arroz vermelho cozido;1 colher de sopa cheia;25;30;6
Arroz-doce;1 colher de sopa;30;51;10
Arroz-doce diet;1 colher de sopa;30;41;6
"Artesanal Bourbon Bacon
(Bob’s®)";1 unidade pequena;271;470;26
Aspargos (conserva);1 unidade média;7;2;0
"Atum em água
(drenado)";1 lata;120;98;24
"Atum em óleo
(drenado)";1 lata;120;203;31
Atum fresco cru;"1 filé
grande";100;118;26
Australiano Artesanal (Bob’s®);1 unidade pequena;340;758;47
Australiano M (Bob’s®);1 unidade média;404;1016;46
Avelã;1 unidade;1;6;0
Azeite de dendê;"1 colher de
sopa";8;72;0
Azeite de oliva;"1 colher de
sopa";8;72;0
Azeitona preta;1 unidade;3;7;0
Azeitona preta;1 unidade;3;7;0
Azeitona verde;1 unidade;4;12;0
Azeitona verde;1 unidade;4;12;0
Baba de moça;1 colher de sopa cheia;30;150;27
"Bacalhau
dessalgado cru";1 porção;100;127;29
Bacon;"1 fatia
pequena";10;89;3
"Bacon Baked
Potato®";1 concha;20;92;3
"Bacon Smokehouse
(McDonald’s®)";1 unidade;;978;75
Baconzitos®;1 pacote pequeno;55;286;31
Bagel gergelim Wickbol®;1 unidade;40;121;21
Bagel multigrãos Wickbold®;1 unidade;40;117;20
Bala “de latinha” diet Gold®;1 bala;2;0;2
Bala Chita®;1 unidade;5;20;5
Bala Dadinho®;1 unidade;6;31;4
Bala de caramelo (média);1 unidade;5;20;4
Bala de goma;1 unidade;3;11;3
Bala de jenipapo;1 unidade;9;25;6
Bala de maçã Lilith®;1 unidade;5;21;5
Bala Delícia;1 unidade;5;20;4
Bala Frumelo – Lacta®;1 unidade;4;17;3
Bala gelatina Fini® (ursinhos);1 unidade;2;8;2
Bala Halls®;1 unidade;3;13;3
Bala Icekiss®;1 unidade;4;16;4
Bala Jujuba;1 unidade;3;12;3
Bala Marshmallow Fini®;1 unidade;6;19;4
Bala Mentex®;1 unidade;3;11;3
Bala Mentos®;1 unidade;3;11;2
Bala Toffees®;1 unidade;7;29;4
Bala Yogurte Dori®;1 unidade;5;19;4
Bala zero Dadinho®;1 unidade;6;29;3
Banana (média);"1 unidade média
(sem casca)";55;51;13
Banana à milanesa;1 unidade média;100;185;24
Banana caramelada;1 unidade média;100;229;59
Banana-caturra;"1 unidade média
(sem casca)";86;79;20
Bananada;1 unidade média;40;115;27
Bananada diet;1 unidade média;40;102;24
Banana-da-terra crua;"1 unidade grande
(sem casca)";100;117;27
Banana-maçã;"1 unidade média
(sem casca)";65;72;15
Banana-nanica;"1 unidade média
(sem casca)";70;64;17
Banana-prata;"1 unidade média
(sem casca)";50;49;13
Bananinha diet Paraibuna®;1 tablete;23;68;16
Bananinha Paraibuna®;1 tablete;36;114;27
Banha de porco;"1 colher de
sobremesa";21;189;0
"Barra de biscoito integral
morango Nutry®";1 barra;20;83;13
Barra de cereal (média);1 unidade;25;97;18
"Barra de cereal banana com
chocolate zero Trio®";1 barra;22;78;13
Barra de cereal diet (média);1 unidade;25;67;15
"Barra de cereal laranja com
chocolate Taeq®";1 unidade;25;81;16
Barra de cereal light (média);1 unidade;25;75;16
"Barra de granola crocante
Nature Valley®";1 barra;21;96;13
"Barra de granola salgada
GranPure®";1 unidade;15;67;7
"Barra de mixed nuts original
Agtal®";1 unidade;30;155;8
Batata baroa cozida;1 colher de sopa cheia;35;28;7
Batata baroa frita;1 colher de sopa cheia;25;57;7
Batata doce assada;1 colher de sopa rasa;30;43;11
Batata doce cozida;1 colher de sopa rasa;30;27;6
Batata doce frita;1 fatia média;65;249;39
"Batata Frita grande
(Burguer King®)";1 unidade;142;389;46
"Batata Frita média
(Burguer King®)";1 unidade;116;318;37
"Batata Frita pequena
(Burguer King®)";1 unidade;74;203;24
"Batata Furiosa grande
(Burguer King®)";1 unidade;354;247;118
"Batata Furiosa média
(Burguer King®)";1 unidade;184;604;61
Batata inglesa cozida;1 colher de sopa cheia;30;16;4
Batata inglesa frita;"1 colher de servir
cheia";50;140;18
Batata inglesa frita (chips);1 colher de servir rasa;15;81;7
Batata inglesa sauté;1 colher de sopa rasa;25;37;4
Batata palha (média);1 xícara de chá;25;139;11
"Batata Suprema grande
(Burguer King®)";1 unidade;368;604;59
"Batata Suprema média
(Burguer King®)";1 unidade;221;368;36
Batata Yacon;1 colher de sopa cheia;25;8;2
"Batida de fruta com com leite
condensado";1 taça;100;256;26
Beijinho;1 unidade pequena;10;42;5
Beijinho diet;1 unidade pequena;6;20;2
Beijinho Moça fiesta Nestlé®;1 unidade média;15;52;8
Beiju;1 unidade média;100;359;87
Beiju com côco;1 unidade grande;125;622;77
Beiju de queijo com manteiga;1 unidade média;150;518;87
"Beirute de Frango Crocante
(Habib’s®)";1 unidade;553;1269;84
Beirute de Rosbife (Habib’s®);1 unidade;418;919;56
Beirute Habidão (Habib’s®);1 unidade;585;1584;47
Bem casado;1 unidade;40;160;25
Berinjela cozida (picada);1 colher de sopa cheia;25;9;2
Berinjela frita;1 rodela média;13;10;1
Bertalha;1 colher de sopa cheia;14;6;1
Beterraba cozida (picada);1 colher de sopa cheia;20;9;2
Beterraba crua (ralada);1 colher de sopa cheia;16;7;1
Bib’s Cheese Salada (Habib’s®);1 unidade;220;601;30
Bib’s Chicken Crispy (Habib’s®);1 unidade;230;529;33
Bib’s Picanha Bacon (Habib’s®);1 unidade;285;1251;28
"Bib’sfiha de Calabresa com
Muçarela (Habib’s®)";1 unidade;70;115;9
Bib’sfiha de Carne (Habib’s®);1 unidade;75;171;20
Bib’sfiha de Cordeiro (Habib’s®);1 unidade;70;97;8
"Bib’sfiha de Espinafre e
Philadelphia (Habib’s®)";1 unidade;80;158;19
Bib’sfiha de Frango (Habib’s®);1 unidade;75;152;19
Bib’sfiha de Picanha (Habib’s®);1 unidade;70;89;8
Bib’sfiha de Queijo (Habib’s®);1 unidade;70;184;18
Bib’sfiha Italiana (Habib’s®);1 unidade;72;128;9
"Bib’sfiha Pepperoni com
Mussarela e Philadelphia®
(Habib’s®)";1 unidade;80;181;9
"Bib’sfiha Quatro Queijos e
Philadelphia (Habib’s®)";1 unidade;80;177;8
Bife à milanesa;1 unidade;100;283;21
Bife à parmegiana;1 unidade;150;490;35
"Bife de boi
grelhado";"1 unidade
média";100;225;36
"Bife de fígado
grelhado";"1 unidade
média";100;225;30
"Bife de fígado
grelhado";"1 unidade
média";100;225;30
Bife frito;1 unidade;100;297;26
Big Apple com refrigerante;1 copo;200;205;28
Big Apple com refrigerante zero;1 copo;200;125;10
Big Bob (Bob’s®);1 unidade média;243;540;37
Big Bob Artesanal (Bob’s®);1 unidade pequena;247;570;34
Big Bob Picanha (Bob’s®);1 unidade pequena;255;564;36
Big King (Burguer King®);1 unidade;312;806;148
Big Mac (McDonald’s®);1 unidade;;502;45
Big Tasty (McDonald’s®);1 unidade;;837;41
Biscoitão de polvilho;1 unidade pequena;20;110;14
Biscoito água;1 unidade;5;23;3
Biscoito água e sal;1 unidade;8;34;5
Biscoito amanteigado;1 unidade;4;26;3
"Biscoito ao leite com aveia
Belvita®";1 pacotinho;30;138;20
Biscoito bichinhos Piraquê®;1 unidade;1;5;1
Biscoito centeio Nesfit;1 unidade;4;17;2
Biscoito champanhe;1 unidade;8;32;6
Biscoito cream cracker®;1 unidade;7;29;5
Biscoito de arroz Fit Food®;1 pacote;30;109;23
Biscoito de farinha integral;1 unidade;10;40;7
Biscoito de leite diet;1 unidade pequena;3;12;2
Biscoito de leite Nestlé®;1 unidade;8;38;5
Biscoito de maisena;1 unidade;5;22;4
Biscoito de milho verde Nestlé®;1 unidade;6;27;4
Biscoito de polvilho (rosquinha);1 unidade;3;13;2
Biscoito de queijo;1 unidade;12;51;6
"Biscoito de tapioca Fhom®
(média)";22 unidades pequenas;30;114;27
Biscoito frito salgado;3 unidades;50;214;26
"Biscoito grãos da terra aveia e
passas Aymoré®";1 unidade;15;80;12
"Biscoito integral 3 cereais
Nestlé®";1 pacote;21;92;14
Biscoito integral Club Social®;1 biscoito;9;39;6
Biscoito maisena Nestlé®;1 unidade;5;22;4
Biscoito Maria®;1 unidade;6;26;4
"Biscoito Passatempo®
(sem recheio)";1 unidade;6;22;4
Biscoito recheado (média);1 unidade;13;58;8
"Biscoito recheado de chocolate
(média)";1 unidade;13;62;9
Biscoito recheado diet (média);1 unidade pequena;10;37;8
"Biscoito salgado integral
gergelim Piraquê®";1 unidade;7;38;5
Biscoito Salpet®;1 unidade;2,5;12;2
"Biscoito tipo Club Social®
(média)";1 pacotinho;28;134;18
Biscoito tipo cookies (média);1 unidade;10;47;7
Biscoito tipo cookies diet (média);1 unidade;10;43;7
Biscoito tipo sequilhos (média);1 unidade pequena;3;13;2
Biscoito tipo waffer (média);1 unidade;8;40;5
Biscoito tipo waffer diet (média);1 unidade;7;39;4
"Biscoito trigo e flocos de arroz
Club Social®";1 biscoito;9;39;6
"Biscoito waffer chocolate
Lowçucar®";1 unidade;8;39;3
Bisnaguinha (média);1 unidade;20;60;11
"Bisnaguinha mini Scooby-Doo
Wickbold®";1 unidade;8;28;5
"Bisnaguinha Scooby-Doo
Wickbold®";1 unidade;18;51;10
Bisnaguinha Seven Boys®;1 unidade;20;62;11
BK Chicken (Burguer King®);1 unidade;19;47;3
Blanquet de peru;"1 fatia
pequena";10;9;2
Bloody Mary;1 taça;100;123;5
Bob’s Artesanal (Bob’s®);1 unidade pequena;330;709;34
Bob’s Australiano (Bob’s®);1 unidade pequena;288;717;44
Bob’s Burger®;1 unidade pequena;165;339;28
Bob’s Crispy (Bob’s®);1 unidade pequena;206;544;40
Bolinha de queijo;1 unidade pequena;10;27;3
Bolinha de queijo;1 unidade pequena;20;55;7
Bolinho de Bacalhau (Habib’s®);1 unidade;40;78;6
Bolinho de chuva;1 unidade pequena;20;54;8
Bolinho de Chuva;1 unidade pequena;30;81;13
Bolinho de chuva salgado;1 unidade;8;21;3
Bolinho de chuva salgado;1 unidade;8;21;3
Bolo alemão;1 fatia;60;227;30
Bolo branco simples;1 fatia grande;100;318;55
"Bolo de abacaxi zero adição de
açúcar Suavipan®";1 fatia média;40;145;20
Bolo de aipim;1 fatia média;40;130;19
Bolo de aipim com coco;1 fatia grande;100;303;46
Bolo de arroz;1 fatia grande;100;281;55
Bolo de banana;1 fatia grande;100;301;47
Bolo de batata-doce;1 fatia grande;90;324;48
"Bolo de caneca chocolate zero
Vitao®";1 unidade;55;175;39
"Bolo de caneca integral Vitalin®
(média)";1 unidade;70;265;56
Bolo de cenoura;1 fatia média;60;227;38
"Bolo de cenoura com chocolate
Dr. Otcker®";1 fatia média;60;227;38
Bolo de chocolate;1 fatia média;40;164;22
Bolo de coco;1 fatia média;40;133;21
"Bolo de festa (recheio/
cobertura)";1 fatia grande;100;320;54
"Bolo de festa diet (recheio/
cobertura)";1 fatia grande;100;275;25
Bolo de fubá;1 fátia média;50;160;20
Bolo de milho;1 fatia média;40;124;18
Bolo de pote Casa de Bolos®;1 fatia;60;166;22
Bolo Petit Gateau;1 unidade;60;245;25
Bolo Petit Gateau light;1 unidade media;94;344;21
Bolo recheado light Suavipan®;1 unidade;40;117;18
Bolo simples de trigo;1 fatia média;60;203;36
Bolo simples sem cobertura;1 fatia média;40;143;21
Bolo simples sem cobertura diet;1 fatia média;40;103;14
Bomba de chocolate;1 unidade;80;125;10
Bombom Alpino®;1 unidade;13;70;8
Bombom Amandita Lacta®;1 unidade;8;40;5
Bombom Chokito®;1 unidade;32;140;25
"Bombom de Chocolate Belga
Amedoim Haoma®";1 unidade;20;106;7
"Bombom de Chocolate Belga
Avelâ Haoma®";1 unidade;20;90;7
"Bombom de Cookies e Cream
Haoma®";1 unidade;20;90;9
"Bombom diet recheado Cacau
Show®";1 unidade;13;58;7
Bombom Ferrero Rocher®;1 unidade;13;75;6
"Bombom Garoto Caribe®
(banana)";1 unidade;17;65;12
Bombom Garoto It Coco®;1 unidade;17;80;11
Bombom Garoto Opereta®;1 unidade;12;67;8
Bombom Kinder Ovo®;1 unidade;20;110;10
Bombom Lacta Laka®;1 unidade;20;108;12
Bombom Nestlé Charge®;1 unidade;40;187;24
Bombom Nestlé Galak®;1 pedaço;25;138;14
Bombom Nestlé Kit Kat®;1 unidade;42;218;23
Bombom Nestlé Prestígio®;1 unidade;33;154;21
Bombom Ouro Branco®;1 unidade;22;112;14
Bombom Sonho de Valsa®;1 unidade;22;115;13
Bombom Trufa de Cereja®;1 unidade;10;45;6
Brigadeiro;1 unidade pequena;10;36;6
Brigadeiro diet;1 unidade pequena;23;62;7
Brigadeiro diet de colher Hué®;1 colher de sopa;20;86;5
Brioche ou rosca;1 fatia média;25;88;12
Broa de amendoim;1 pedaço;50;138;18
Broa de fubá;1 pedaço;10;39;5
Broa de fubá/milho;1 fatia média;60;154;30
Brócolis cozido (picado);1 colher de sopa cheia;10;4;0
Broto de feijão cru;1 pires cheio;100;44;8
Broto de feijão cru;1 colher de sopa cheia;35;16;8
Brownie chocolate diet (média);1 unidade;40;107;15
Burger Vegano Fit (Madero®);1 unidade;370;637;85
"Burger Vegano Junior Fit
(Madero®)";1 unidade;300;506;73
Cacau;1 porção;100;74;19
Cacau em pó (média);1 colher de sopa;10;31;5
"Cachorro quente(pão/salsicha/
molhos/milho/batata)";1 unidade;120;203;27
Café com açúcar;1 xícara de chá;200;80;20
"Café com leite meio a meio
(com açúcar)";"1 xícara de chá/
1 copo";200;117;19
"Café com leite meio a meio
(sem açúcar)";"1 xícara de chá/
1 copo";200;88;7
Café sem açúcar;1 xícara de chá;200;10;0
Café solúvel (pó);1 colher de sopa cheia;4;6;1
Caipirinha (com açúcar);1 dose;200;187;33
Caipirinha (sem açúcar);1 dose;200;85;21
Cajá (polpa) congelada;1 saquinho;100;40;10
Cajá-manga;1 unidade grande;55;38;9
Caju;1 unidade grande;120;55;14
Caju (polpa) congelada;1 saquinho;100;46;12
Cajuzinho;1 unidade pequena;12;44;6
Calda de caramelo;1 colher de sopa;10;31;7
Calda de chocolate;1 colher de sopa;10;31;5
Calda de morango;1 colher de sopa;10;25;7
Caldo de cana;1 copo;200;130;36
Caldo de feijão;1 concha média;130;98;13
Camarão frito;4 unidades;20;37;4
Camil®;;;;
Cana-de-açúcar (caldo);1 copo duplo;240;201;49
Canelone à bolonhesa;1 unidade média;45;76;5
Canelone de frango;1 unidade média;45;87;9
"Canelone de peito de peru,
queijo e brócolis";1 unidade média;45;62;6
"Canelone de ricota com
espinafre";1 unidade média;45;75;5
Canjica doce;1 concha média;120;126;23
Canjica doce diet;1 concha média;120;86;13
Canudinho de doce de leite;1 unidade;25;89;14
Capeletti de carne;1 escumadeira;50;141;25
Capeletti de frango;1 escumadeira;50;140;25
Capeletti de presunto;1 escumadeira;50;143;25
Cappuccino diet em pó (média);2 colheres de sopa;14;64;6
"Cappuccino em pó tradicional
(média)";2 colheres de sopa;20;81;15
Cappuccino pronto Classic Café;1 unidade;187;187;28
"Cappuccino pronto Light Café 3
Corações®";1 unidade;187;119;12
Cappuccino tradicional em pó;2 colheres de sopa;14;49;8
Caqui;1 unidade média;110;95;22
Cará cozido (picado);1 colher de sopa cheia;35;28;7
Cará refogado;1 colher de sopa cheia;27;31;5
Carambola;1 unidade grande;100;46;11
Caramelo diet Hué®;1 unidade;6;23;4
"Carne de porco
lombo assado";1 porção;100;210;0
"Carne de porco
pernil assado";1 porção;100;260;0
Carne vegetal (soja);1 pedaço;50;36;4
Carpaccio de carne;"1 fatia
média";30;86;0
"Carpaccio de
Salmão Damm®";1 porção;100;142;0
Castanha-de-caju;10 unidades;30;130;10
Castanha-do-Pará;3 unidades;18;126;3
Castanha-portuguesa (cozida);1 unidade média;10;21;5
Caviar;1 porção;100;252;4
Cebola (picada);1 colher de sopa cheia;10;4;1
Cebolinha crua (picada);1 colher de sopa cheia;8;2;0
Cenoura cozida (picada);1 colher de sopa cheia;25;8;2
Cenoura crua (ralada);1 colher de sopa cheia;12;4;1
Cereais diet (média);3 / _{4} xícara de chá;40;90;17
"Cereal matinal chocolate
Vitalin®";^{3} /_{4} xícara de chá;30;121;24
"Cereal matinal de aveia com
Nuts Nutry®";½ xícara de chá;40;163;23
"Cereal matinal de milho com
açúcar";1 xícara de chá;40;151;36
"Cereal matinal de milho sem
açúcar";1 xícara de chá;40;146;33
Cereal matinal tradicional;3 / _{4} xícara de chá;30;115;26
Cereal Nesfit®;^{3} /_{4} xícara de chá;30;110;23
